"labels","data","datetime"
"Live Demand",12.84,2019-05-17 18:22:05
"Winter Peak Demand",22.86,2019-05-17 18:22:05
"Orkney ANM",1.138,2019-05-17 18:22:05
"Non-ANM Renewable Generation",1.614,2019-05-17 18:22:05
"Total Renewable Capacity",54.348,2019-05-17 18:22:05
"Live Demand",12.85,2019-05-17 18:22:01
"Winter Peak Demand",22.85,2019-05-17 18:22:01
"Orkney ANM",1.18,2019-05-17 18:22:01
"Non-ANM Renewable Generation",1.614,2019-05-17 18:22:01
"Total Renewable Capacity",54.306,2019-05-17 18:22:01
